accident_risk,flood_risk,traffic_risk,lighting_risk,road_condition,weather_condition,time_of_day,day_type,risk_score
20.6,66.2,36.9,12.1,36.6,Heavy Rain,Afternoon,Weekend,56.0
27.1,31.5,78.1,42.6,75.0,Rain,Night,Weekday,59.2
47.5,83.1,40.5,28.9,14.1,Heavy Rain,Morning,Weekday,66.0
53.4,86.6,46.6,30.3,63.7,Heavy Rain,Afternoon,Weekday,76.3
58.9,5.4,31.9,65.9,22.6,Heavy Rain,Afternoon,Weekend,39.7
57.2,62.0,42.3,82.2,38.7,Clear,Morning,Weekday,53.6
32.4,80.0,25.2,59.1,57.0,Clear,Evening,Weekday,52.6
37.6,58.0,23.4,70.9,32.4,Clear,Evening,Weekday,47.7
80.5,94.6,37.4,77.1,36.9,Clear,Night,Weekend,78.5
24.4,70.4,20.5,63.7,54.2,Clear,Afternoon,Weekday,41.2
79.5,28.0,52.8,8.9,84.6,Rain,Evening,Weekday,64.0
40.4,39.2,53.8,43.0,21.5,Rain,Evening,Weekday,52.1
61.3,29.3,58.5,16.0,72.3,Clear,Evening,Weekday,49.9
14.0,22.9,26.0,26.0,49.2,Clear,Evening,Weekday,26.7
47.2,23.7,84.6,31.4,10.2,Rain,Night,Weekend,48.9
17.7,13.1,50.9,62.9,17.6,Clear,Morning,Weekend,26.7
44.5,14.0,24.0,8.2,31.8,Heavy Rain,Afternoon,Weekend,31.9
69.4,9.1,78.2,58.1,22.8,Clear,Afternoon,Weekday,46.6
12.9,78.3,24.6,37.1,82.2,Clear,Afternoon,Weekend,46.0
60.2,76.7,19.0,60.7,14.4,Fog,Morning,Weekday,50.7
73.2,66.1,24.5,35.4,36.9,Clear,Evening,Weekend,53.6
16.1,87.8,19.0,37.9,13.4,Clear,Afternoon,Weekday,35.0
70.2,56.9,55.2,83.2,60.2,Clear,Afternoon,Weekday,59.6
61.2,27.4,37.7,59.1,38.9,Heavy Rain,Afternoon,Weekend,54.6
59.7,19.1,77.9,73.1,75.2,Clear,Afternoon,Weekday,58.3
9.3,25.0,61.5,37.3,27.6,Rain,Evening,Weekday,39.9
43.0,15.7,49.8,57.3,17.7,Clear,Afternoon,Weekday,31.7
56.4,60.7,34.4,45.7,25.5,Rain,Night,Weekday,58.4
23.9,45.9,54.8,54.6,45.5,Rain,Evening,Weekday,56.1
23.8,35.7,76.4,82.2,31.9,Rain,Evening,Weekday,58.0
16.9,69.5,67.7,13.6,55.8,Clear,Night,Weekday,44.6
71.4,69.5,18.6,38.2,79.5,Heavy Rain,Afternoon,Weekend,83.4
61.0,91.1,20.8,44.9,49.8,Clear,Night,Weekend,59.9
48.2,87.9,24.2,51.3,64.8,Clear,Afternoon,Weekday,56.1
47.8,39.6,88.4,78.3,67.2,Clear,Night,Weekend,72.6
16.3,42.1,66.0,64.9,32.4,Heavy Rain,Night,Weekday,71.3
58.8,23.1,59.9,28.2,35.9,Rain,Night,Weekday,53.6
47.8,67.5,35.8,14.2,36.4,Rain,Afternoon,Weekday,51.1
68.6,80.7,32.9,72.8,70.6,Rain,Morning,Weekday,76.3
22.0,72.5,22.9,27.9,28.8,Heavy Rain,Evening,Weekday,60.2
7.7,78.3,18.2,74.4,65.5,Heavy Rain,Evening,Weekday,69.5
71.7,76.9,33.0,58.2,79.5,Clear,Night,Weekend,77.7
51.9,6.2,30.1,54.6,68.6,Heavy Rain,Evening,Weekend,53.1
60.0,73.0,53.7,53.3,68.2,Fog,Morning,Weekday,67.1
20.9,20.6,51.1,35.2,42.1,Rain,Morning,Weekday,36.5
33.1,68.9,22.4,17.3,34.2,Clear,Night,Weekday,38.9
46.7,56.5,38.6,67.7,33.8,Clear,Morning,Weekday,48.5
40.4,53.3,17.4,22.7,26.0,Clear,Afternoon,Weekday,33.8
50.1,94.7,75.9,83.5,10.7,Rain,Afternoon,Weekend,65.7
57.8,91.3,64.6,30.7,78.7,Fog,Afternoon,Weekday,65.7
82.5,79.0,40.0,69.2,43.4,Clear,Night,Weekday,77.7
85.6,20.1,86.5,48.0,10.5,Clear,Evening,Weekend,54.5
41.1,14.4,53.0,61.2,83.2,Heavy Rain,Evening,Weekend,62.1
18.1,46.3,36.5,12.0,14.1,Heavy Rain,Afternoon,Weekday,37.7
27.0,39.9,60.4,39.6,11.3,Rain,Afternoon,Weekday,39.7
69.3,57.7,66.1,10.8,79.6,Clear,Evening,Weekday,60.0
70.0,44.4,41.6,57.9,45.5,Rain,Morning,Weekday,64.6
51.4,91.4,21.5,59.2,78.6,Heavy Rain,Evening,Weekday,88.2
52.0,55.0,19.9,5.4,54.7,Rain,Night,Weekday,50.4
81.8,35.9,43.0,56.7,48.4,Clear,Morning,Weekend,50.6
20.4,77.0,78.2,73.1,79.9,Fog,Afternoon,Weekday,59.7
10.7,13.8,68.0,44.0,34.8,Clear,Evening,Weekday,37.8
81.5,33.6,46.1,54.3,32.9,Rain,Afternoon,Weekday,55.6
41.4,5.4,29.7,22.7,65.5,Clear,Evening,Weekday,36.3
79.6,46.7,38.7,29.4,51.4,Clear,Evening,Weekend,54.1
16.9,53.5,31.1,75.9,15.7,Clear,Morning,Weekday,34.1
54.5,41.5,57.2,77.5,51.4,Rain,Night,Weekday,76.6
36.1,25.1,71.8,63.7,31.8,Rain,Afternoon,Weekday,46.6
61.3,81.3,74.5,54.1,22.4,Rain,Afternoon,Weekday,69.1
61.1,92.1,68.9,43.7,36.9,Clear,Afternoon,Weekday,59.3
8.6,23.6,82.6,33.9,45.2,Rain,Morning,Weekend,36.2
64.8,51.9,76.4,71.8,29.7,Rain,Morning,Weekday,70.2
60.5,80.2,51.3,35.1,78.0,Rain,Afternoon,Weekend,69.9
46.0,59.4,50.1,16.1,22.4,Clear,Evening,Weekday,42.2
35.8,69.6,19.5,23.4,70.8,Heavy Rain,Afternoon,Weekday,66.4
18.7,80.0,11.8,8.5,53.0,Clear,Evening,Weekday,36.7
9.8,28.2,24.4,81.7,55.0,Rain,Morning,Weekday,39.5
29.1,12.7,45.9,84.4,75.0,Clear,Evening,Weekday,52.8
74.7,21.4,62.8,26.2,64.3,Clear,Afternoon,Weekday,47.9
37.8,14.8,26.2,73.8,47.8,Clear,Morning,Weekday,37.4
57.3,8.5,72.7,45.3,18.8,Rain,Morning,Weekday,50.2
81.2,74.7,61.9,46.8,37.8,Clear,Afternoon,Weekday,62.0
72.1,39.3,57.1,64.3,67.1,Rain,Morning,Weekday,70.5
24.8,82.3,32.7,75.1,40.6,Clear,Evening,Weekend,53.6
15.0,5.6,62.4,60.0,33.7,Clear,Morning,Weekday,32.6
77.7,43.1,39.3,27.0,61.0,Heavy Rain,Afternoon,Weekend,69.3
36.5,54.9,30.3,29.5,35.8,Heavy Rain,Evening,Weekend,66.3
68.6,45.2,65.9,17.9,26.1,Clear,Afternoon,Weekday,46.5
65.1,19.5,87.2,5.4,16.8,Clear,Night,Weekday,37.8
23.9,12.2,13.0,35.7,83.8,Rain,Afternoon,Weekday,34.5
85.4,78.8,61.2,40.1,25.1,Rain,Evening,Weekday,72.0
56.0,51.4,28.5,18.6,12.7,Clear,Morning,Weekday,39.3
71.3,36.8,41.6,51.9,48.8,Heavy Rain,Morning,Weekday,68.1
75.5,87.4,37.8,82.1,30.7,Rain,Morning,Weekend,70.5
27.2,41.6,18.5,10.8,32.1,Fog,Evening,Weekend,30.4
74.1,56.7,65.5,82.3,52.2,Heavy Rain,Evening,Weekend,98.3
44.2,57.8,12.2,14.3,15.1,Rain,Night,Weekday,40.1
31.8,91.0,51.3,5.8,72.4,Clear,Morning,Weekday,55.4
11.5,88.8,48.1,33.3,77.1,Clear,Night,Weekday,55.6
47.4,23.0,68.8,74.8,25.5,Clear,Morning,Weekday,46.1
14.1,87.8,64.1,58.1,56.0,Heavy Rain,Afternoon,Weekday,69.6
57.8,49.3,88.8,76.8,75.2,Rain,Night,Weekend,87.3
23.9,56.9,14.3,68.9,45.9,Rain,Afternoon,Weekday,46.6
19.9,92.9,65.9,41.8,61.7,Clear,Morning,Weekday,56.8
57.1,28.4,53.9,24.0,45.4,Rain,Afternoon,Weekday,47.2
64.6,38.5,78.3,27.4,23.5,Clear,Afternoon,Weekday,44.0
27.9,26.2,44.6,35.5,20.9,Fog,Morning,Weekend,28.7
47.5,94.6,78.0,46.4,64.0,Heavy Rain,Afternoon,Weekday,83.8
38.9,67.1,14.8,70.1,45.7,Rain,Afternoon,Weekday,53.4
52.6,88.9,30.6,6.6,19.1,Heavy Rain,Night,Weekday,63.3
60.2,20.7,72.4,33.4,60.5,Rain,Evening,Weekend,56.5
29.4,61.9,21.6,18.4,70.6,Clear,Evening,Weekday,44.4
11.1,19.6,28.3,30.4,31.9,Clear,Evening,Weekday,25.6
78.3,37.7,57.0,82.2,41.0,Clear,Morning,Weekend,57.0
84.9,68.1,16.4,18.4,17.7,Clear,Night,Weekday,44.8
38.7,73.8,16.7,26.0,21.6,Rain,Night,Weekday,47.6
29.2,61.4,20.5,72.1,12.1,Rain,Night,Weekday,59.3
87.9,53.7,31.8,40.6,82.7,Rain,Morning,Weekday,70.0
59.0,55.8,51.9,56.2,33.2,Clear,Afternoon,Weekend,49.2
36.1,28.4,34.3,5.0,71.2,Heavy Rain,Afternoon,Weekday,45.4
83.4,90.2,48.2,5.7,42.3,Clear,Morning,Weekday,59.7
40.0,55.4,41.6,18.1,65.3,Clear,Afternoon,Weekday,43.1
25.4,73.8,82.8,69.6,61.3,Clear,Evening,Weekend,62.1
77.5,21.4,33.2,56.0,56.3,Clear,Evening,Weekday,51.5
9.2,53.1,24.9,13.2,30.2,Heavy Rain,Evening,Weekday,50.5
47.0,35.8,34.9,69.0,84.8,Rain,Evening,Weekday,66.7
85.9,10.0,72.1,10.7,45.3,Clear,Evening,Weekend,48.1
15.4,74.1,29.9,66.7,43.2,Heavy Rain,Morning,Weekday,66.0
49.3,93.4,47.8,59.5,33.4,Clear,Evening,Weekday,64.9
49.3,27.8,61.1,20.9,76.6,Heavy Rain,Morning,Weekday,64.4
32.6,20.1,32.1,14.6,69.2,Clear,Morning,Weekend,32.4
55.7,38.4,17.2,17.6,16.9,Rain,Night,Weekend,42.0
10.1,63.0,66.1,68.3,19.4,Clear,Night,Weekend,57.5
73.5,44.5,25.4,60.1,36.9,Clear,Night,Weekday,63.2
30.1,67.7,25.2,19.9,36.1,Heavy Rain,Morning,Weekend,61.0
52.1,11.2,22.4,28.7,29.8,Clear,Morning,Weekday,29.4
20.8,6.7,78.5,67.1,27.9,Heavy Rain,Evening,Weekday,48.0
49.5,49.8,54.1,54.0,34.2,Rain,Morning,Weekday,56.0
76.0,16.7,79.9,21.2,46.4,Clear,Afternoon,Weekend,48.4
49.7,68.1,30.5,34.3,55.4,Clear,Night,Weekday,51.9
80.6,12.2,74.1,9.9,51.9,Fog,Afternoon,Weekday,51.3
75.0,28.9,13.3,10.6,32.8,Fog,Night,Weekday,41.0
50.2,22.1,52.1,24.9,56.9,Clear,Evening,Weekday,43.2
59.3,37.2,46.7,58.2,76.2,Clear,Morning,Weekday,54.8
18.4,94.9,45.4,33.2,33.6,Fog,Afternoon,Weekday,46.0
41.6,70.3,58.7,50.1,26.0,Heavy Rain,Night,Weekday,87.6
43.0,40.7,68.1,83.6,54.7,Rain,Night,Weekday,72.5
23.9,82.0,11.7,70.8,61.7,Clear,Afternoon,Weekday,48.9
18.2,8.4,38.5,16.1,37.5,Rain,Morning,Weekend,22.2
39.0,87.6,68.7,62.9,69.5,Clear,Evening,Weekday,71.4
82.2,58.6,34.0,63.5,53.2,Clear,Morning,Weekend,56.7
74.5,42.5,79.4,74.6,27.0,Rain,Evening,Weekday,78.2
37.5,32.4,13.3,48.2,21.2,Rain,Morning,Weekday,37.3
38.4,45.1,57.6,45.4,26.7,Clear,Afternoon,Weekday,38.3
53.6,9.4,41.9,11.8,47.6,Heavy Rain,Morning,Weekday,44.6
46.5,63.7,25.7,54.3,65.2,Clear,Morning,Weekend,48.3
83.6,13.1,63.7,38.9,36.1,Clear,Afternoon,Weekday,45.5
89.0,60.5,89.2,40.4,20.9,Clear,Evening,Weekday,65.3
69.4,81.7,19.0,9.4,81.2,Fog,Night,Weekend,56.8
64.0,15.0,46.0,6.8,25.7,Rain,Morning,Weekday,41.3
46.1,70.7,21.3,60.9,11.4,Rain,Evening,Weekday,55.7
29.1,76.0,59.4,9.2,59.1,Clear,Afternoon,Weekday,47.8
61.1,82.8,11.5,74.4,58.7,Clear,Afternoon,Weekend,54.1
31.8,83.0,52.5,19.9,47.5,Rain,Night,Weekday,54.4
50.0,35.0,41.5,17.6,36.0,Clear,Evening,Weekday,42.5
47.6,78.1,60.1,75.3,76.8,Heavy Rain,Morning,Weekday,89.9
17.9,85.7,62.6,12.0,38.7,Fog,Evening,Weekday,47.0
25.4,18.7,87.6,77.8,34.7,Rain,Morning,Weekday,49.4
73.0,82.6,34.7,61.4,49.3,Clear,Night,Weekend,74.2
84.3,87.5,35.4,49.6,81.1,Clear,Afternoon,Weekend,68.9
70.1,84.2,43.1,37.9,43.2,Fog,Night,Weekend,63.9
71.2,14.6,24.8,66.0,55.9,Clear,Afternoon,Weekday,43.0
63.4,37.3,65.1,43.1,47.7,Rain,Evening,Weekday,67.6
46.8,17.4,25.5,7.6,67.3,Clear,Morning,Weekday,35.9
89.0,73.2,15.3,79.2,83.9,Heavy Rain,Afternoon,Weekday,90.2
26.0,41.4,13.3,63.8,38.5,Clear,Evening,Weekend,38.8
49.6,83.8,73.0,46.7,43.9,Heavy Rain,Morning,Weekend,79.2
38.6,71.2,54.6,46.3,57.3,Clear,Morning,Weekday,53.7
75.3,46.5,43.8,54.1,14.1,Rain,Morning,Weekend,56.5
66.4,15.2,72.3,80.0,62.2,Clear,Afternoon,Weekday,52.8
55.2,69.1,26.2,41.4,28.8,Rain,Night,Weekend,61.9
15.5,15.3,46.0,34.0,49.3,Clear,Evening,Weekday,36.4
37.2,39.3,71.5,78.0,52.4,Rain,Morning,Weekend,55.3
65.5,42.8,34.8,66.5,43.5,Rain,Morning,Weekday,58.8
57.9,27.8,46.7,73.4,50.8,Clear,Night,Weekday,63.2
45.4,41.9,16.4,53.0,28.4,Rain,Evening,Weekday,50.1
9.2,18.3,62.3,7.9,74.0,Rain,Evening,Weekday,40.4
9.2,42.5,24.3,58.8,55.8,Rain,Afternoon,Weekend,36.8
43.7,57.1,84.5,12.5,32.4,Clear,Afternoon,Weekday,45.1
51.8,31.4,20.8,60.6,30.6,Rain,Afternoon,Weekday,45.0
14.3,70.7,60.3,84.0,46.3,Rain,Night,Weekend,69.2
56.8,33.5,52.0,84.6,36.5,Clear,Afternoon,Weekday,49.2
46.9,21.2,58.8,61.7,83.4,Clear,Morning,Weekday,51.6
77.1,77.0,89.9,38.1,35.0,Rain,Evening,Weekday,77.9
28.9,76.1,34.6,45.5,34.3,Clear,Evening,Weekday,49.0
57.4,7.6,24.1,31.4,35.3,Rain,Night,Weekend,41.5
45.9,61.4,81.4,48.0,35.1,Heavy Rain,Afternoon,Weekend,79.2
30.4,70.2,35.2,47.9,25.6,Rain,Evening,Weekend,52.0
87.4,30.2,12.5,83.7,57.0,Heavy Rain,Afternoon,Weekday,65.9
78.5,72.6,66.4,30.2,12.4,Clear,Afternoon,Weekday,53.1
85.8,24.5,34.2,14.0,68.9,Heavy Rain,Night,Weekday,59.0
46.0,50.0,25.2,78.9,64.9,Rain,Evening,Weekday,67.1
74.9,89.4,64.1,15.6,64.3,Rain,Evening,Weekday,74.4
84.2,66.8,57.5,12.0,45.0,Clear,Afternoon,Weekday,54.4
54.1,33.1,81.4,30.7,24.4,Clear,Afternoon,Weekday,41.4
17.7,29.6,11.2,54.8,48.6,Clear,Afternoon,Weekday,27.3
64.9,30.5,29.6,10.7,56.0,Clear,Afternoon,Weekday,39.4
62.4,14.5,14.3,39.1,23.4,Rain,Afternoon,Weekend,38.5
57.4,33.1,75.4,62.0,60.3,Rain,Night,Weekend,78.0
16.2,78.2,83.6,42.5,44.2,Rain,Evening,Weekday,61.1
24.0,82.5,59.4,78.0,39.4,Rain,Evening,Weekend,65.8
43.5,7.7,48.0,33.1,44.6,Clear,Evening,Weekday,37.0
13.7,78.6,73.7,31.1,58.7,Heavy Rain,Afternoon,Weekday,67.7
57.8,54.3,87.9,35.7,35.6,Heavy Rain,Afternoon,Weekend,80.8
71.9,54.0,28.9,58.0,15.8,Fog,Afternoon,Weekday,49.6
44.3,55.0,75.8,19.1,81.7,Clear,Morning,Weekend,54.8
37.2,49.5,62.8,12.2,71.3,Fog,Night,Weekday,46.4
17.5,18.4,52.5,36.2,53.3,Clear,Evening,Weekday,38.3
82.6,32.4,85.5,39.8,83.7,Clear,Morning,Weekday,68.7
39.4,16.5,33.5,34.5,51.2,Clear,Evening,Weekend,35.1
78.2,82.9,28.8,61.2,39.6,Clear,Afternoon,Weekday,58.4
61.3,47.7,25.1,35.8,79.3,Heavy Rain,Morning,Weekend,69.8
16.4,11.5,11.3,62.7,46.5,Clear,Night,Weekday,42.6
40.3,46.0,73.1,53.4,41.9,Clear,Afternoon,Weekday,47.2
35.2,21.7,58.4,51.2,73.5,Clear,Afternoon,Weekday,44.0
36.2,93.0,55.5,61.4,18.5,Rain,Evening,Weekday,64.7
88.6,93.5,72.3,42.2,15.9,Fog,Morning,Weekday,72.3
86.6,12.0,60.7,68.8,33.4,Clear,Afternoon,Weekend,49.9
48.6,47.2,68.7,38.7,82.0,Heavy Rain,Morning,Weekday,79.6
68.7,70.4,55.1,9.9,45.5,Clear,Morning,Weekend,53.2
58.1,30.8,16.6,45.4,73.9,Clear,Morning,Weekday,46.5
6.2,15.0,24.0,52.3,21.3,Clear,Evening,Weekday,26.4
46.2,76.9,79.0,32.4,16.3,Clear,Night,Weekday,53.7
89.5,74.3,29.0,40.2,57.8,Clear,Evening,Weekday,65.2
69.2,15.4,23.4,36.9,32.6,Heavy Rain,Evening,Weekday,50.6
65.0,47.7,21.6,74.6,10.9,Fog,Afternoon,Weekday,48.1
63.0,8.7,83.4,56.0,81.7,Clear,Night,Weekend,69.0
27.7,13.8,62.3,36.3,68.0,Heavy Rain,Evening,Weekday,51.5
33.7,67.1,24.4,48.8,60.5,Heavy Rain,Morning,Weekday,68.8
42.9,24.7,32.7,20.4,11.8,Clear,Night,Weekday,31.1
85.8,62.4,66.6,14.6,74.2,Clear,Evening,Weekend,63.4
87.2,85.6,65.7,25.3,45.0,Fog,Evening,Weekend,67.4
41.3,86.3,71.6,30.9,22.1,Clear,Evening,Weekday,55.8
10.1,91.0,31.2,40.2,46.9,Fog,Evening,Weekday,47.3
17.2,74.2,27.5,56.5,78.4,Heavy Rain,Morning,Weekday,71.2
26.3,45.1,81.7,16.9,58.0,Fog,Evening,Weekday,50.8
81.9,56.7,51.2,80.2,46.8,Clear,Evening,Weekend,68.6
50.9,5.3,86.3,70.4,46.2,Rain,Night,Weekday,67.8
39.1,61.9,86.7,12.3,50.1,Fog,Morning,Weekday,55.4
60.1,20.9,13.1,35.7,24.3,Rain,Night,Weekday,42.3
12.2,62.0,68.8,16.2,24.5,Heavy Rain,Afternoon,Weekday,55.2
50.9,32.7,52.7,71.7,43.7,Fog,Morning,Weekday,53.9
8.6,15.6,74.6,58.4,44.4,Rain,Night,Weekday,52.7
83.6,8.3,21.3,57.3,45.3,Fog,Morning,Weekday,45.9
19.6,9.5,34.6,68.5,44.2,Clear,Afternoon,Weekend,28.2
47.3,76.9,27.6,69.4,42.0,Heavy Rain,Night,Weekday,87.9
87.9,56.8,21.0,71.9,69.5,Heavy Rain,Afternoon,Weekday,85.5
17.0,42.4,65.7,49.3,42.9,Fog,Morning,Weekday,46.0
57.1,75.0,11.3,44.0,10.5,Clear,Morning,Weekday,43.2
40.4,77.7,71.8,60.4,25.5,Rain,Afternoon,Weekday,62.9
56.9,8.4,24.4,45.0,81.3,Rain,Evening,Weekday,49.2
25.0,15.6,52.4,12.7,37.1,Heavy Rain,Afternoon,Weekday,36.0
61.0,29.9,25.5,68.7,61.4,Fog,Afternoon,Weekday,50.5
8.7,63.0,32.8,39.8,35.1,Heavy Rain,Evening,Weekday,61.9
83.6,20.8,72.8,43.8,18.7,Fog,Evening,Weekday,58.4
21.9,65.9,36.1,67.3,34.5,Clear,Evening,Weekend,46.0
23.8,47.4,48.8,76.2,20.9,Fog,Afternoon,Weekday,38.2
66.2,61.9,88.0,21.2,19.5,Rain,Morning,Weekday,67.6
44.0,20.4,37.5,75.9,55.3,Heavy Rain,Evening,Weekday,59.9
87.5,82.0,16.9,73.6,46.7,Fog,Afternoon,Weekend,63.2
67.1,71.3,29.7,31.2,53.5,Fog,Afternoon,Weekday,55.1
5.4,93.2,13.2,42.7,67.6,Clear,Afternoon,Weekday,43.6
74.8,45.7,29.2,49.7,10.9,Heavy Rain,Night,Weekday,66.8
60.0,13.2,48.4,29.4,62.7,Heavy Rain,Evening,Weekday,57.5
70.6,83.7,42.4,68.2,37.8,Rain,Evening,Weekend,72.2
80.9,35.0,12.6,39.1,30.2,Fog,Afternoon,Weekend,46.3
11.9,84.3,68.9,9.4,80.9,Rain,Night,Weekday,54.2
57.6,37.9,24.0,49.7,15.0,Heavy Rain,Morning,Weekend,50.6
14.7,48.1,85.1,51.4,81.9,Clear,Evening,Weekday,57.2
27.7,66.2,32.2,10.1,35.9,Rain,Afternoon,Weekday,44.1
62.7,53.0,33.4,54.7,70.0,Fog,Evening,Weekend,58.2
80.8,46.2,16.4,76.8,31.6,Fog,Morning,Weekday,55.4
47.2,83.7,51.7,55.2,32.0,Fog,Afternoon,Weekday,53.9
42.7,63.0,33.3,10.0,75.4,Clear,Night,Weekday,46.1
34.1,63.1,36.1,52.5,62.3,Heavy Rain,Afternoon,Weekday,70.4
72.1,20.5,30.8,43.7,82.8,Heavy Rain,Morning,Weekday,65.1
19.1,88.2,66.9,27.8,83.0,Heavy Rain,Evening,Weekday,78.2
25.2,8.7,35.3,15.1,29.5,Clear,Afternoon,Weekday,20.7
34.2,38.6,53.2,18.0,32.6,Fog,Afternoon,Weekday,34.4
43.9,33.8,10.3,64.1,83.2,Clear,Evening,Weekday,48.4
85.2,93.3,55.9,16.8,52.4,Fog,Afternoon,Weekday,68.0
81.5,17.5,54.1,29.6,40.1,Heavy Rain,Afternoon,Weekday,53.2
59.5,57.5,27.8,79.9,30.8,Clear,Afternoon,Weekday,49.5
12.4,51.1,25.6,30.4,55.4,Fog,Night,Weekday,35.8
77.6,38.3,39.8,27.8,36.4,Fog,Night,Weekday,53.8
42.8,94.3,74.3,28.1,70.4,Fog,Afternoon,Weekend,61.0
54.9,12.7,26.6,43.0,75.1,Fog,Morning,Weekend,44.5
12.5,41.9,83.2,38.2,51.7,Heavy Rain,Evening,Weekday,60.2
37.5,54.8,13.4,71.1,72.6,Clear,Afternoon,Weekday,44.1
5.2,28.6,86.5,71.7,45.4,Rain,Night,Weekday,58.5
63.5,27.0,19.5,27.2,84.6,Clear,Evening,Weekday,47.7
78.8,61.5,48.1,60.5,19.0,Rain,Afternoon,Weekend,62.1
10.0,33.8,80.3,15.8,22.2,Clear,Afternoon,Weekend,29.1
29.6,52.7,84.9,46.1,67.5,Clear,Morning,Weekend,52.2
79.2,79.4,64.8,29.1,61.4,Rain,Morning,Weekday,78.8
6.1,51.6,39.8,43.8,35.5,Fog,Morning,Weekday,33.4
21.0,85.7,59.1,71.5,49.4,Rain,Afternoon,Weekend,55.9
44.1,11.9,75.5,78.9,46.0,Clear,Afternoon,Weekend,47.5
55.8,73.7,37.4,61.8,12.2,Heavy Rain,Morning,Weekend,68.5
24.3,16.3,20.4,11.3,61.8,Heavy Rain,Morning,Weekend,35.8
8.6,14.7,73.4,46.1,14.4,Clear,Morning,Weekday,32.3
69.1,75.4,83.6,21.4,77.6,Clear,Afternoon,Weekday,66.8
85.1,90.4,37.8,17.8,47.5,Heavy Rain,Morning,Weekday,78.5
54.1,6.3,27.4,20.3,31.1,Fog,Afternoon,Weekend,28.7
23.2,50.4,66.6,34.3,54.2,Clear,Night,Weekday,46.6
37.3,24.3,28.2,14.0,83.8,Clear,Morning,Weekday,39.6
64.9,55.1,13.2,31.2,18.7,Clear,Evening,Weekday,43.8
42.7,54.9,33.2,73.4,24.2,Clear,Evening,Weekday,51.4
20.2,94.9,49.3,13.4,42.9,Rain,Morning,Weekday,49.4
55.2,14.2,84.0,83.2,14.9,Fog,Afternoon,Weekday,50.5
15.4,80.4,68.0,27.3,63.5,Rain,Morning,Weekend,54.7
39.0,47.8,58.3,37.4,46.3,Clear,Evening,Weekday,48.9
47.3,61.6,20.8,13.0,14.0,Clear,Evening,Weekend,33.6
62.7,18.7,59.8,12.7,15.7,Heavy Rain,Evening,Weekend,45.0
61.3,49.1,30.9,32.5,74.5,Rain,Night,Weekday,63.0
82.8,39.5,35.2,35.1,44.5,Clear,Afternoon,Weekend,47.2
65.0,49.2,20.8,62.3,46.6,Clear,Evening,Weekday,54.5
53.6,47.8,78.3,45.5,39.4,Rain,Night,Weekday,64.9
88.1,33.8,12.3,8.6,72.8,Clear,Evening,Weekday,49.2
34.0,13.8,37.6,33.6,36.3,Rain,Morning,Weekday,36.1
82.4,10.9,34.4,32.0,11.5,Clear,Afternoon,Weekend,35.6
81.6,29.0,65.7,52.0,83.9,Clear,Afternoon,Weekday,61.7
13.5,65.8,36.9,45.2,67.4,Clear,Evening,Weekday,47.9
47.2,81.3,73.0,72.2,50.2,Clear,Morning,Weekend,60.5
24.2,71.9,17.4,72.5,17.1,Clear,Morning,Weekend,37.7
22.8,76.6,62.1,29.1,70.3,Clear,Afternoon,Weekday,49.3
58.1,45.8,71.1,19.4,11.4,Heavy Rain,Night,Weekday,60.1
86.8,71.8,47.4,80.0,50.0,Rain,Evening,Weekday,84.4
58.3,52.0,39.1,16.8,21.3,Rain,Afternoon,Weekday,47.6
75.6,10.8,26.3,38.0,71.8,Rain,Morning,Weekday,52.1
14.7,22.3,29.6,71.2,44.8,Rain,Afternoon,Weekday,32.3
18.5,17.3,30.7,69.3,59.4,Clear,Night,Weekend,49.3
6.7,82.4,16.7,53.1,75.0,Fog,Afternoon,Weekday,44.5
12.7,89.9,67.9,16.2,18.4,Heavy Rain,Night,Weekday,59.9
85.7,88.8,30.1,75.8,27.9,Clear,Evening,Weekday,69.6
38.1,72.4,28.9,38.8,20.8,Clear,Night,Weekday,43.5
55.1,49.1,40.0,80.9,33.7,Clear,Evening,Weekend,56.4
84.6,37.7,67.3,70.7,11.6,Fog,Evening,Weekend,62.7
85.0,67.2,73.1,24.2,51.5,Clear,Night,Weekday,65.9
15.4,83.0,78.6,36.1,78.2,Clear,Night,Weekday,57.4
74.9,26.2,26.8,76.2,78.7,Rain,Night,Weekend,76.3
7.9,83.0,75.9,80.2,45.3,Clear,Evening,Weekday,65.0
74.7,79.2,65.9,45.5,36.4,Rain,Evening,Weekend,74.3
7.3,9.7,61.3,55.4,69.3,Clear,Afternoon,Weekday,33.5
12.0,19.2,51.3,82.6,72.3,Heavy Rain,Evening,Weekday,59.4
32.1,48.1,68.8,25.9,61.6,Heavy Rain,Evening,Weekday,67.3
20.5,83.9,85.6,75.7,26.8,Fog,Night,Weekday,69.7
82.1,92.7,25.9,61.1,22.7,Clear,Afternoon,Weekday,55.7
36.3,90.3,19.4,62.5,42.6,Fog,Afternoon,Weekday,48.3
65.7,22.1,79.0,67.6,31.6,Rain,Morning,Weekend,57.9
89.6,30.5,64.2,38.5,40.6,Clear,Morning,Weekday,57.3
82.1,38.3,64.7,41.7,10.8,Clear,Afternoon,Weekday,48.6
65.6,68.8,68.9,25.5,17.1,Clear,Afternoon,Weekday,51.9
89.7,89.5,87.4,52.9,66.1,Clear,Morning,Weekday,78.2
38.5,38.4,87.4,49.8,53.5,Clear,Afternoon,Weekend,51.3
